"date"	"annee"	"mois"	"jour"	"secteur"	"horaire"	"force_vent"	"etat_mer"	"couverture_nuageuse"	"temperature_sol"	"direction_vent"	"direction_houle"	"observateurs"	"commentaires"
2021-09-02	2021	"septembre"	2	"Mezzanu"	12:00:00	"F3"	"peu agitee"	"50-75"	26	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Mezzanu"	15:00:00	"F3"	"peu agitee"	"50-75"	25	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Mezzanu"	17:00:00	"F2"	"peu agitee"	"75-100"	25	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Saleccia"	09:00:00	"F2"	"ridee"	"25-50"	24	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Saleccia"	12:00:00	"F3"	"peu agitee"	"50-75"	25	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Saleccia"	15:00:00	"F3"	"peu agitee"	"50-75"	24	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Saleccia"	17:00:00	"F2"	"peu agitee"	"75-100"	24	"E"	"O"	"Alex, Jean-Phi"	NA
2022-06-21	2022	"juin"	21	"Fiume Santu"	09:00:00	"F1"	"ridee"	"0-10"	28	"SE"	NA	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Fiume Santu"	12:00:00	"F3"	"ridee"	"10-25"	28	"N"	"S"	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Fiume Santu"	15:00:00	"F2"	"belle"	"0-10"	28	"N"	"S"	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Fiume Santu"	17:00:00	"F0"	"calme"	"0-10"	29	"N"	"S"	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Lotu"	09:00:00	"F1"	"ridee"	"0-10"	28	"SE"	NA	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Lotu"	12:00:00	"F3"	"belle"	"10-25"	28	"N"	"S"	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Lotu"	15:00:00	"F2"	"belle"	"10-25"	29	"N"	"S"	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Lotu"	17:00:00	"F0"	"calme"	"0-10"	29	"N"	"S"	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Mezzanu"	09:00:00	"F1"	"ridee"	"0-10"	28	"SE"	NA	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Mezzanu"	12:00:00	"F3"	"belle"	"10-25"	28	"N"	"S"	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Mezzanu"	15:00:00	"F2"	"belle"	"10-25"	28	"N"	"S"	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Mezzanu"	17:00:00	"F0"	"calme"	"0-10"	29	"N"	"S"	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Saleccia"	09:00:00	"F1"	"calme"	"0-10"	28	"SE"	NA	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Saleccia"	12:00:00	"F2"	"ridee"	"10-25"	27	"N"	"S"	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Saleccia"	15:00:00	"F1"	"belle"	"10-25"	28	"N"	"S"	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-06-21	2022	"juin"	21	"Saleccia"	17:00:00	"F2"	"ridee"	"0-10"	29	"N"	"S"	"Jean-Phi CASANOVA, Alex CRISPI"	NA
2022-07-28	2022	"juillet"	28	"Fiume Santu"	09:00:00	"F1"	"belle"	"0-10"	28	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Fiume Santu"	12:00:00	"F3"	"belle"	"0-10"	31	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Fiume Santu"	15:00:00	"F2"	"belle"	"0-10"	30	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Fiume Santu"	17:00:00	"F1"	"belle"	"0-10"	28	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Lotu"	09:00:00	"F1"	"belle"	"0-10"	28	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Lotu"	12:00:00	"F3"	"belle"	"0-10"	31	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Lotu"	15:00:00	"F1"	"belle"	"0-10"	32	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Lotu"	17:00:00	"F1"	"belle"	"0-10"	28	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Mezzanu"	09:00:00	"F1"	"belle"	"0-10"	28	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Mezzanu"	12:00:00	"F3"	"belle"	"0-10"	31	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Mezzanu"	15:00:00	"F2"	"belle"	"0-10"	30	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
