"date"	"annee"	"mois"	"jour"	"secteur"	"horaire"	"personnes_plage"	"personnes_eau"	"pmt"	"vaches"	"observateurs"	"commentaires"	"commentaires_secteur"
2023-06-23	2023	"juin"	23	"Lotu"	12:00:00	145	102	29	17	"Django de Herder, Axel Priouzeau"	NA	NA
2023-06-23	2023	"juin"	23	"Lotu"	14:45:00	307	158	33	0	"Django de Herder, Axel Priouzeau"	NA	NA
2023-06-23	2023	"juin"	23	"Lotu"	16:45:00	160	59	6	0	"Django de Herder, Axel Priouzeau"	NA	NA
2023-06-23	2023	"juin"	23	"Malfalcu"	09:00:00	0	0	0	0	NA	NA	NA
2023-06-23	2023	"juin"	23	"Malfalcu"	12:00:00	0	0	0	4	NA	NA	NA
2023-06-23	2023	"juin"	23	"Malfalcu"	15:00:00	0	0	0	0	NA	NA	NA
2023-06-23	2023	"juin"	23	"Malfalcu"	17:00:00	NA	NA	NA	NA	NA	NA	NA
2023-06-23	2023	"juin"	23	"Mezzanu"	09:00:00	0	1	0	0	NA	NA	NA
2023-06-23	2023	"juin"	23	"Mezzanu"	12:00:00	0	3	0	0	NA	NA	NA
2023-06-23	2023	"juin"	23	"Mezzanu"	15:00:00	0	0	0	0	NA	NA	NA
2023-06-23	2023	"juin"	23	"Mezzanu"	17:00:00	0	0	0	0	NA	NA	NA
2023-06-23	2023	"juin"	23	"Saleccia"	09:00:00	7	2	0	0	"Django de Herder, Axel Priouzeau"	NA	NA
2023-06-23	2023	"juin"	23	"Saleccia"	12:00:00	167	56	7	0	"Django de Herder, Axel Priouzeau"	NA	NA
2023-06-23	2023	"juin"	23	"Saleccia"	14:45:00	123	30	2	0	"Django de Herder, Axel Priouzeau"	NA	NA
2023-06-23	2023	"juin"	23	"Saleccia"	16:45:00	104	12	0	0	"Django de Herder, Axel Priouzeau"	NA	NA
2023-06-23	2023	"juin"	23	"U Travu"	09:00:00	0	0	0	0	NA	NA	NA
2023-06-23	2023	"juin"	23	"U Travu"	12:00:00	2	8	0	0	NA	NA	NA
2023-06-23	2023	"juin"	23	"U Travu"	15:00:00	7	0	0	0	NA	NA	NA
2023-06-23	2023	"juin"	23	"U Travu"	17:00:00	NA	NA	NA	NA	NA	NA	NA
2023-07-28	2023	"juillet"	28	"Ghignu"	09:00:00	0	0	0	0	"Laurent, Julie + saisonniers"	"L'ensemble de la baie est etudiee : Ghignu et l'anse juste a cote = Alga putrica"	NA
2023-07-28	2023	"juillet"	28	"Ghignu"	10:00:00	10	10	0	3	"Laurent, Julie + saisonniers"	NA	NA
2023-07-28	2023	"juillet"	28	"Ghignu"	11:00:00	13	6	2	1	"Laurent, Julie + saisonniers"	NA	NA
2023-07-28	2023	"juillet"	28	"Ghignu"	12:00:00	51	18	0	0	"Laurent, Julie + saisonniers"	NA	NA
2023-07-28	2023	"juillet"	28	"Ghignu"	15:00:00	63	44	3	0	"Laurent, Julie + saisonniers"	NA	NA
2023-07-28	2023	"juillet"	28	"Ghignu"	17:00:00	45	6	1	3	"Laurent, Julie + saisonniers"	NA	NA
2023-07-28	2023	"juillet"	28	"Lotu"	09:00:00	13	5	2	7	"Aurelie Essartier, Leila Rahmane"	NA	NA
2023-07-28	2023	"juillet"	28	"Lotu"	12:00:00	388	136	24	7	"Aurelie Essartier, Leila Rahmane"	NA	NA
2023-07-28	2023	"juillet"	28	"Lotu"	14:45:00	549	95	22	0	"Aurelie Essartier, Leila Rahmane"	NA	NA
2023-07-28	2023	"juillet"	28	"Lotu"	16:45:00	266	131	4	0	"Aurelie Essartier, Leila Rahmane"	NA	NA
2023-07-28	2023	"juillet"	28	"Malfalcu"	09:00:00	0	0	0	0	NA	NA	NA
2023-07-28	2023	"juillet"	28	"Malfalcu"	12:00:00	0	0	0	2	NA	"2 bateaux ancres dans la baie:  1 avec 3 pers a bord  1 avec 8 pers a bord"	NA
2023-07-28	2023	"juillet"	28	"Malfalcu"	15:00:00	2	3	0	0	NA	"1 bateau ancre dans la baie:  1 avec 2 pers a bord"	NA
2023-07-28	2023	"juillet"	28	"Malfalcu"	17:00:00	2	0	0	0	NA	NA	NA
2023-07-28	2023	"juillet"	28	"Mezzanu"	09:00:00	2	10	0	0	"Kevin DCDFL, Axel Priouzeau"	NA	NA
2023-07-28	2023	"juillet"	28	"Mezzanu"	12:00:00	25	31	4	0	"Kevin DCDFL, Axel Priouzeau"	"Bivouac"	NA
2023-07-28	2023	"juillet"	28	"Mezzanu"	15:00:00	14	7	5	0	"Kevin DCDFL, Axel Priouzeau"	"Bivouac"	NA
2023-07-28	2023	"juillet"	28	"Mezzanu"	17:00:00	10	16	3	0	"Kevin DCDFL, Axel Priouzeau"	NA	NA
2023-07-28	2023	"juillet"	28	"Saleccia"	09:00:00	123	32	2	0	"Django de Herder, Maeva Labegorre"	"Comptage effectue a 9:30"	NA
2023-07-28	2023	"juillet"	28	"Saleccia"	12:00:00	646	183	26	0	"Django de Herder, Maeva Labegorre"	NA	NA
2023-07-28	2023	"juillet"	28	"Saleccia"	14:45:00	686	285	23	0	"Django de Herder, Maeva Labegorre"	NA	NA
2023-07-28	2023	"juillet"	28	"Saleccia"	16:45:00	459	205	19	0	"Django de Herder, Maeva Labegorre"	NA	NA
2023-07-28	2023	"juillet"	28	"U Travu"	09:00:00	0	0	0	0	NA	"NEANT"	NA
2023-07-28	2023	"juillet"	28	"U Travu"	12:00:00	23	7	4	0	NA	NA	NA
2023-07-28	2023	"juillet"	28	"U Travu"	15:00:00	8	10	3	0	NA	NA	NA
2023-07-28	2023	"juillet"	28	"U Travu"	17:00:00	NA	NA	NA	NA	NA	"Non realise, probleme sur Ghignu, on est passe apres 18h devant Trave"	NA
2023-08-10	2023	"aout"	10	"Lotu"	09:00:00	91	3	4	0	"Django de Herder, Maeva Labegorre"	"1 annexe sur la plage"	NA
2023-08-10	2023	"aout"	10	"Lotu"	12:00:00	547	100	5	0	"Django de Herder, Maeva Labegorre"	"Meduses + 2 annexes et 2 canoes sur la plage"	NA
2023-08-10	2023	"aout"	10	"Lotu"	14:45:00	643	152	36	0	"Django de Herder, Maeva Labegorre"	"1 paddle dans l'eau"	NA
2023-08-10	2023	"aout"	10	"Lotu"	16:45:00	465	118	17	0	"Django de Herder, Maeva Labegorre"	"1 jet + 1 annexe dans le chenal. 1 annexe sur la plage"	NA
2023-08-10	2023	"aout"	10	"Mezzanu"	09:00:00	6	1	0	0	"Kevin DCDFL, Alexandre Raibaldi"	"Presence d'une vente chapiteau"	NA
2023-08-10	2023	"aout"	10	"Mezzanu"	12:00:00	30	0	0	0	"Kevin DCDFL, Alexandre Raibaldi"	"Toujours chapiteau"	NA
2023-08-10	2023	"aout"	10	"Mezzanu"	15:00:00	26	10	0	0	"Kevin DCDFL, Alexandre Raibaldi"	"Toujours chapiteau"	NA
2023-08-10	2023	"aout"	10	"Mezzanu"	17:00:00	55	3	0	0	"Kevin DCDFL, Alexandre Raibaldi"	"Chapiteau en cours de demontage"	NA
2023-08-10	2023	"aout"	10	"Saleccia"	09:00:00	104	24	0	0	"Camille Lemaire, Leila Rahmane"	"Groupe de personnes a cheval a l'ouest de la plage"	NA
2023-08-10	2023	"aout"	10	"Saleccia"	12:00:00	810	180	15	0	"Camille Lemaire, Leila Rahmane"	NA	NA
2023-08-10	2023	"aout"	10	"Saleccia"	14:45:00	1056	301	23	0	"Camille Lemaire, Leila Rahmane"	NA	NA
2023-08-10	2023	"aout"	10	"Saleccia"	16:45:00	840	209	20	0	"Camille Lemaire, Leila Rahmane"	NA	NA
2023-09-06	2023	"septembre"	6	"Ghignu"	09:00:00	2	0	0	0	"F. Sorbara, F. Giorgetti, L. Ceccaldi"	NA	NA
2023-09-06	2023	"septembre"	6	"Ghignu"	12:00:00	8	0	0	4	"F. Sorbara, F. Giorgetti, L. Ceccaldi"	NA	NA
2023-09-06	2023	"septembre"	6	"Ghignu"	15:00:00	4	10	0	4	"F. Sorbara, F. Giorgetti, L. Ceccaldi"	NA	NA
2023-09-06	2023	"septembre"	6	"Ghignu"	17:00:00	0	0	0	0	"F. Sorbara, F. Giorgetti, L. Ceccaldi"	NA	NA
2023-09-06	2023	"septembre"	6	"Lotu"	09:00:00	1	0	0	0	"Aurelie Essartier, Jade Larose, Alexandre Raibaldi, Alexandre Crispi"	"arrivee kayak"	NA
2023-09-06	2023	"septembre"	6	"Lotu"	12:00:00	143	58	6	0	"Aurelie Essartier, Jade Larose, Alexandre Raibaldi, Alexandre Crispi"	NA	NA
2023-09-06	2023	"septembre"	6	"Lotu"	14:45:00	399	55	7	0	"Aurelie Essartier, Jade Larose, Alexandre Raibaldi, Alexandre Crispi"	NA	NA
2023-09-06	2023	"septembre"	6	"Lotu"	16:45:00	307	20	7	0	"Aurelie Essartier, Jade Larose, Alexandre Raibaldi, Alexandre Crispi"	NA	NA
2023-09-06	2023	"septembre"	6	"Malfalcu"	09:00:00	0	0	0	0	"F. Sorbara, F. Giorgetti, L. Ceccaldi"	NA	NA
2023-09-06	2023	"septembre"	6	"Malfalcu"	12:00:00	0	0	0	0	"F. Sorbara, F. Giorgetti, L. Ceccaldi"	NA	NA
2023-09-06	2023	"septembre"	6	"Malfalcu"	15:00:00	2	0	0	4	"F. Sorbara, F. Giorgetti, L. Ceccaldi"	NA	NA
2023-09-06	2023	"septembre"	6	"Malfalcu"	17:00:00	0	0	0	0	"F. Sorbara, F. Giorgetti, L. Ceccaldi"	NA	NA
2023-09-06	2023	"septembre"	6	"Mezzanu"	09:00:00	8	3	3	0	"Alexandre Raibaldi, Alexandre Crispi"	NA	NA
