"date","annee","mois","secteur","horaire","force_vent","etat_mer","couverture_nuageuse","temperature_sol","direction_vent","direction_houle","observateurs","commentaires"
2021-06-16,2021,"juin","Saleccia",09:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Saleccia",12:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Saleccia",15:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Saleccia",17:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-07-28,2021,"juillet","Fiume Santu",09:00:00,"F1","calme","0-10",26,"NO","SO","Laurent, Alex",NA
2021-07-28,2021,"juillet","Fiume Santu",12:00:00,"F1","calme","0-10",NA,"NO","SO","Laurent, Alex",NA
2021-07-28,2021,"juillet","Fiume Santu",15:00:00,NA,NA,NA,NA,NA,NA,"Laurent, Alex",NA
2021-07-28,2021,"juillet","Fiume Santu",17:00:00,"F2","ridee","0-10",NA,"NO","SO","Laurent, Alex",NA
2021-07-28,2021,"juillet","Lotu",09:00:00,"F1","calme","0-10",26,"NO","SO","Laurent, Alex",NA
2021-07-28,2021,"juillet","Lotu",12:00:00,"F0","calme","10-25",NA,"N","SO","Laurent, Alex",NA
2021-07-28,2021,"juillet","Lotu",15:00:00,NA,NA,NA,NA,NA,NA,"Laurent, Alex",NA
2021-07-28,2021,"juillet","Lotu",17:00:00,"F0","calme","0-10",NA,"NO","SO","Laurent, Alex",NA
2021-07-28,2021,"juillet","Petit Lotu",09:00:00,"F1","calme","0-10",26,"NO","SE","Laurent, Alex",NA
2021-07-28,2021,"juillet","Petit Lotu",12:00:00,"F1","calme","0-10",NA,"NO","SE","Laurent, Alex",NA
2021-07-28,2021,"juillet","Petit Lotu",15:00:00,NA,NA,NA,NA,NA,NA,"Laurent, Alex",NA
2021-07-28,2021,"juillet","Petit Lotu",17:00:00,"F1","calme","0-10",NA,"NO","SE","Laurent, Alex",NA
2021-07-28,2021,"juillet","Saleccia",09:00:00,"F1","calme","0-10",27,"NO","SE","Laurent, Alex",NA
2021-07-28,2021,"juillet","Saleccia",12:00:00,"F0","calme","0-10",NA,"NO","SE","Laurent, Alex",NA
2021-07-28,2021,"juillet","Saleccia",15:00:00,"F0","calme","0-10",NA,"SO","SE","Laurent, Alex",NA
2021-07-28,2021,"juillet","Saleccia",17:00:00,NA,NA,NA,NA,NA,NA,"Laurent, Alex",NA
2021-08-18,2021,"août","Fiume Santu",09:00:00,"F1","calme","0-10",26,"N",NA,"Frank, Alex",NA
2021-08-18,2021,"août","Fiume Santu",12:00:00,"F1","calme","0-10",28,"N",NA,"Frank, Alex",NA
2021-08-18,2021,"août","Fiume Santu",15:00:00,"F1","calme","0-10",28,"NE",NA,"Frank, Alex",NA
2021-08-18,2021,"août","Fiume Santu",17:00:00,"F1","calme","0-10",27,"NE",NA,"Frank, Alex",NA
2021-08-18,2021,"août","Lotu",09:00:00,"F1","calme","0-10",25,"NE",NA,"Frank, Alex",NA
2021-08-18,2021,"août","Lotu",12:00:00,"F2","ridee","10-25",28,"N","S","Frank, Alex",NA
2021-08-18,2021,"août","Lotu",15:00:00,"F2","ridee","10-25",28,"NO","SE","Frank, Alex",NA
2021-08-18,2021,"août","Lotu",17:00:00,"F1","ridee","0-10",27,"NO","SE","Frank, Alex",NA
2021-08-18,2021,"août","Petit Lotu",09:00:00,"F1","calme","0-10",25,"NE",NA,"Frank, Alex",NA
2021-08-18,2021,"août","Petit Lotu",12:00:00,"F2","ridee","10-25",28,"O","S","Frank, Alex",NA
2021-08-18,2021,"août","Petit Lotu",15:00:00,"F2","ridee","10-25",28,"NO","SE","Frank, Alex",NA
2021-08-18,2021,"août","Petit Lotu",17:00:00,"F1","ridee","0-10",27,"NO","SE","Frank, Alex",NA
2021-08-18,2021,"août","Saleccia",09:00:00,"F1","ridee","0-10",25,"O","E","Frank, Alex",NA
2021-08-18,2021,"août","Saleccia",12:00:00,"F1","ridee","10-25",28,"NO","S","Frank, Alex",NA
2021-08-18,2021,"août","Saleccia",15:00:00,"F2","belle","10-25",28,"NO","SE","Frank, Alex",NA
2021-08-18,2021,"août","Saleccia",17:00:00,"F2","ridee","10-25",26,"NO","SE","Frank, Alex",NA
2021-09-02,2021,"septembre","Fiume Santu",09:00:00,"F2","ridee","25-50",24,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Fiume Santu",12:00:00,"F3","peu agitee","50-75",25,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Fiume Santu",15:00:00,"F3","peu agitee","75-100",25,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Fiume Santu",17:00:00,"F2","peu agitee","75-100",25,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Lotu",09:00:00,"F2","ridee","25-50",24,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Lotu",12:00:00,"F3","peu agitee","50-75",26,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Lotu",15:00:00,"F3","peu agitee","50-75",25,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Lotu",17:00:00,"F2","peu agitee","75-100",25,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Petit Lotu",09:00:00,"F2","ridee","25-50",24,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Petit Lotu",12:00:00,"F3","peu agitee","50-75",26,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Petit Lotu",15:00:00,"F3","peu agitee","50-75",25,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Petit Lotu",17:00:00,"F2","peu agitee","75-100",25,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Saleccia",09:00:00,"F2","ridee","25-50",24,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Saleccia",12:00:00,"F3","peu agitee","50-75",25,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Saleccia",15:00:00,"F3","peu agitee","50-75",24,"E","O","Alex, Jean-Phi",NA
2021-09-02,2021,"septembre","Saleccia",17:00:00,"F2","peu agitee","75-100",24,"E","O","Alex, Jean-Phi",NA
2022-06-21,2022,"juin","Fiume Santu",09:00:00,"F1","ridee","0-10",28,"SE",NA,"Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Fiume Santu",12:00:00,"F3","ridee","10-25",28,"N","S","Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Fiume Santu",15:00:00,"F2","belle","0-10",28,"N","S","Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Fiume Santu",17:00:00,"F0","calme","0-10",29,"N","S","Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Lotu",09:00:00,"F1","ridee","0-10",28,"SE",NA,"Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Lotu",12:00:00,"F3","belle","10-25",28,"N","S","Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Lotu",15:00:00,"F2","belle","10-25",29,"N","S","Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Lotu",17:00:00,"F0","calme","0-10",29,"N","S","Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Petit Lotu",09:00:00,"F1","ridee","0-10",28,"SE",NA,"Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Petit Lotu",12:00:00,"F3","belle","10-25",28,"N","S","Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Petit Lotu",15:00:00,"F2","belle","10-25",28,"N","S","Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Petit Lotu",17:00:00,"F0","calme","0-10",29,"N","S","Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Saleccia",09:00:00,"F1","calme","0-10",28,"SE",NA,"Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Saleccia",12:00:00,"F2","ridee","10-25",27,"N","S","Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Saleccia",15:00:00,"F1","belle","10-25",28,"N","S","Jean-Phi CASANOVA, Alex CRISPI",NA
2022-06-21,2022,"juin","Saleccia",17:00:00,"F2","ridee","0-10",29,"N","S","Jean-Phi CASANOVA, Alex CRISPI",NA
2022-07-28,2022,"juillet","Fiume Santu",09:00:00,"F1","belle","0-10",28,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Fiume Santu",12:00:00,"F3","belle","0-10",31,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Fiume Santu",15:00:00,"F2","belle","0-10",30,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Fiume Santu",17:00:00,"F1","belle","0-10",28,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Lotu",09:00:00,"F1","belle","0-10",28,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Lotu",12:00:00,"F3","belle","0-10",31,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Lotu",15:00:00,"F1","belle","0-10",32,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Lotu",17:00:00,"F1","belle","0-10",28,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Petit Lotu",09:00:00,"F1","belle","0-10",28,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Petit Lotu",12:00:00,"F3","belle","0-10",31,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Petit Lotu",15:00:00,"F2","belle","0-10",30,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Petit Lotu",17:00:00,"F1","belle","0-10",28,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Saleccia",09:00:00,"F1","belle","0-10",28,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Saleccia",12:00:00,"F3","peu agitee","0-10",32,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Saleccia",15:00:00,"F2","belle","0-10",30,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-07-28,2022,"juillet","Saleccia",17:00:00,"F1","belle","0-10",28,"NO","SE","A. Crispi, A. Priouzeau, J-P Casanova",NA
2022-08-10,2022,"août","Fiume Santu",09:00:00,"F2","belle","0-10",28,"SE",NA,"Laurent Ricquiers, Axel Priouzeau",NA
