"date";"annee";"mois";"jour";"secteur";"horaire";"societes";"nombre_arrivees";"nombre_de_personnes";"ponton";"chenal";"observateurs";"commentaires";"commentaires_secteur"
2020-07-29;2020;"juillet";29;"Saleccia";10:00:00;"Taxi beach";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";10:00:00;"Taxi boat (popeye/saleccia)";2;16;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";10:00:00;"Taxi plage";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";10:00:00;"Mare e Stagnu";2;18;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";10:00:00;"Quadrimarant";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";10:00:00;"Speed boat";2;21;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";10:00:00;"Autres societes";3;28;NA;NA;NA;"Isula promenade (balagne), Balagna aventure corsica, calvi evasion";NA
2020-07-29;2020;"juillet";29;"Saleccia";10:00:00;"Particuliers";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";10:00:00;"Jet ski";5;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";10:00:00;"Kayak";1;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";10:00:00;"Paddle";5;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";10:00:00;"Autres activites";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";11:00:00;"Taxi beach";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";11:00:00;"Taxi boat (popeye/saleccia)";2;20;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";11:00:00;"Taxi plage";1;11;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";11:00:00;"Mare e Stagnu";2;20;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";11:00:00;"Quadrimarant";1;11;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";11:00:00;"Speed boat";1;10;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";11:00:00;"Autres societes";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";11:00:00;"Particuliers";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";11:00:00;"Jet ski";13;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";11:00:00;"Kayak";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";11:00:00;"Paddle";6;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";11:00:00;"Autres activites";0;0;NA;NA;NA;"2 bouees tractees";NA
2020-07-29;2020;"juillet";29;"Saleccia";12:00:00;"Taxi beach";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";12:00:00;"Taxi boat (popeye/saleccia)";2;22;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";12:00:00;"Taxi plage";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";12:00:00;"Mare e Stagnu";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";12:00:00;"Quadrimarant";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";12:00:00;"Speed boat";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";12:00:00;"Autres societes";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";12:00:00;"Particuliers";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";12:00:00;"Jet ski";2;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";12:00:00;"Kayak";2;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";12:00:00;"Paddle";9;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";12:00:00;"Autres activites";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";13:00:00;"Taxi beach";1;6;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";13:00:00;"Taxi boat (popeye/saleccia)";2;20;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";13:00:00;"Taxi plage";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";13:00:00;"Mare e Stagnu";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";13:00:00;"Quadrimarant";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";13:00:00;"Speed boat";1;5;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";13:00:00;"Autres societes";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";13:00:00;"Particuliers";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";13:00:00;"Jet ski";8;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";13:00:00;"Kayak";2;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";13:00:00;"Paddle";5;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";13:00:00;"Autres activites";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";14:00:00;"Taxi beach";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";14:00:00;"Taxi boat (popeye/saleccia)";2;16;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";14:00:00;"Taxi plage";2;24;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";14:00:00;"Mare e Stagnu";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";14:00:00;"Quadrimarant";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";14:00:00;"Speed boat";1;10;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";14:00:00;"Autres societes";1;12;NA;NA;NA;"Balagna aventure corsica";NA
2020-07-29;2020;"juillet";29;"Saleccia";14:00:00;"Particuliers";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";14:00:00;"Jet ski";8;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";14:00:00;"Kayak";1;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";14:00:00;"Paddle";6;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";14:00:00;"Autres activites";0;0;NA;NA;NA;"1 bouee tractee";NA
2020-07-29;2020;"juillet";29;"Saleccia";15:00:00;"Taxi beach";1;3;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";15:00:00;"Taxi boat (popeye/saleccia)";2;17;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";15:00:00;"Taxi plage";1;11;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";15:00:00;"Mare e Stagnu";2;19;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";15:00:00;"Quadrimarant";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";15:00:00;"Speed boat";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";15:00:00;"Autres societes";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";15:00:00;"Particuliers";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";15:00:00;"Jet ski";6;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";15:00:00;"Kayak";4;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";15:00:00;"Paddle";4;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";15:00:00;"Autres activites";0;0;NA;NA;NA;"1 bouee tractee";NA
2020-07-29;2020;"juillet";29;"Saleccia";16:00:00;"Taxi beach";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";16:00:00;"Taxi boat (popeye/saleccia)";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";16:00:00;"Taxi plage";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";16:00:00;"Mare e Stagnu";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";16:00:00;"Quadrimarant";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";16:00:00;"Speed boat";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";16:00:00;"Autres societes";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";16:00:00;"Particuliers";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";16:00:00;"Jet ski";4;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";16:00:00;"Kayak";4;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";16:00:00;"Paddle";11;0;NA;NA;NA;NA;NA
